"id","label","FC_michelson","TC_michelson","responseRate","weights","FC_michelson_c","TC_michelson_c","baseline"
"107","400",0.027,0.002,0.333333333333333,12,0.00396858638743455,-0.00671727748691099,0.007
"107","400",0.027,0.003,0.363636363636364,11,0.00396858638743455,-0.00571727748691099,0.007
"107","400",0.027,0.004,0.368421052631579,19,0.00396858638743455,-0.00471727748691099,0.007
"107","400",0.027,0.005,0.4,30,0.00396858638743455,-0.00371727748691099,0.007
"107","400",0.027,0.006,0.5,36,0.00396858638743455,-0.00271727748691099,0.007
"107","400",0.027,0.008,0.692307692307692,26,0.00396858638743455,-0.000717277486910995,0.007
"107","400",0.027,0.01,0.818181818181818,11,0.00396858638743455,0.00128272251308901,0.007
"107","400",0.027,0.012,0.75,4,0.00396858638743455,0.00328272251308901,0.007
"107","400",0.027,0.016,1,2,0.00396858638743455,0.00728272251308901,0.007
"107","400",0.027,0.019,1,1,0.00396858638743455,0.010282722513089,0.007
"107","400",0.027,0.024,1,1,0.00396858638743455,0.015282722513089,0.007
"107","400",0.027,0.031,1,1,0.00396858638743455,0.022282722513089,0.007
"107","400",0.027,0.038,1,1,0.00396858638743455,0.029282722513089,0.007
"107","400",0.027,0.048,1,1,0.00396858638743455,0.039282722513089,0.007
"107","800",0.052,0.002,0.166666666666667,6,0.0289685863874346,-0.00671727748691099,0.007
"107","800",0.052,0.003,0.444444444444444,9,0.0289685863874346,-0.00571727748691099,0.007
"107","800",0.052,0.004,0.357142857142857,14,0.0289685863874346,-0.00471727748691099,0.007
"107","800",0.052,0.005,0.321428571428571,28,0.0289685863874346,-0.00371727748691099,0.007
"107","800",0.052,0.006,0.555555555555556,36,0.0289685863874346,-0.00271727748691099,0.007
"107","800",0.052,0.008,0.586206896551724,29,0.0289685863874346,-0.000717277486910995,0.007
"107","800",0.052,0.01,0.722222222222222,18,0.0289685863874346,0.00128272251308901,0.007
"107","800",0.052,0.012,0.857142857142857,7,0.0289685863874346,0.00328272251308901,0.007
"107","800",0.052,0.016,1,2,0.0289685863874346,0.00728272251308901,0.007
"107","800",0.052,0.019,1,1,0.0289685863874346,0.010282722513089,0.007
"107","800",0.052,0.024,1,1,0.0289685863874346,0.015282722513089,0.007
"107","800",0.052,0.031,1,1,0.0289685863874346,0.022282722513089,0.007
"107","800",0.052,0.038,1,1,0.0289685863874346,0.029282722513089,0.007
"107","800",0.052,0.048,1,1,0.0289685863874346,0.039282722513089,0.007
